,year,prizename,nominationstatement,films,charactor,songtitle,publicnote,Ccodetyp,win
26,1927,WRITING (Adaptation),Anthony Coldeway,Glorious Betsy,,,,actingorsimilar,0
27,1927,WRITING (Adaptation),Benjamin Glazer,7th Heaven,,,,actingorsimilar,1
28,1927,WRITING (Original Story),Lajos Biro,The Last Command,,,,actingorsimilar,0
29,1927,WRITING (Original Story),Ben Hecht,Underworld,,,,actingorsimilar,1
30,1927,WRITING (Title Writing),Gerald Duffy,The Private Life of Helen of Troy,,,,actingorsimilar,0
31,1927,WRITING (Title Writing),Joseph Farnham,The Private Life of Helen of Troy,,,[NOTE: This award was not associated with any specific film title.],actingorsimilar,1
32,1927,WRITING (Title Writing),"George Marion, Jr.",The Private Life of Helen of Troy,,,[NOTE: This nomination was not associated with any specific film title.],actingorsimilar,0
33,1928,ACTOR,George Bancroft,Thunderbolt,"{""Thunderbolt Jim Lang""}",,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
34,1928,ACTOR,Warner Baxter,In Old Arizona,"{""The Cisco Kid""}",,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.]",actingorsimilar,1
35,1928,ACTOR,Chester Morris,Alibi,"{""No. 1065, Chick Williams""}",,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
36,1928,ACTOR,Paul Muni,The Valiant,"{""James Dyke""}",,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
37,1928,ACTOR,Lewis Stone,The Patriot,"{""Count Pahlen""}",,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
38,1928,ACTRESS,Ruth Chatterton,Madame X,"{""Jacqueline Floriot""}",,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
39,1928,ACTRESS,Betty Compson,The Barker,"{""Carrie""}",,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
40,1928,ACTRESS,Jeanne Eagels,The Letter,"{""Leslie Crosbie""}",,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
41,1928,ACTRESS,Corinne Griffith,The Divine Lady,"{""Emma Hart, Lady Hamilton""}",,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
42,1928,ACTRESS,Bessie Love,The Broadway Melody,"{""Hank Mahoney""}",,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
43,1928,ACTRESS,Mary Pickford,Coquette,"{""Norma Besant""}",,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.]",actingorsimilar,1
44,1928,ART DIRECTION,Hans Dreier,The Patriot,,,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
45,1928,ART DIRECTION,Cedric Gibbons,The Bridge of San Luis Rey,,,"[NOTE: The award citation reads 'for 'The Bridge of San Luis Rey' and other pictures.'  THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.]",actingorsimilar,1
46,1928,ART DIRECTION,Mitchell Leisen,Dynamite,,,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.    There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
47,1928,ART DIRECTION,William Cameron Menzies,Alibi; The Awakening,,,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
48,1928,ART DIRECTION,Harry Oliver,Street Angel,,,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
49,1928,CINEMATOGRAPHY,George Barnes,Our Dancing Daughters,,,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
50,1928,CINEMATOGRAPHY,Clyde De Vinna,White Shadows in the South Seas,,,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.]",actingorsimilar,1
51,1928,CINEMATOGRAPHY,Arthur Edeson,In Old Arizona,,,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
52,1928,CINEMATOGRAPHY,Ernest Palmer,Four Devils; Street Angel,,,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
53,1928,CINEMATOGRAPHY,John Seitz,The Divine Lady,,,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
54,1928,DIRECTING,Lionel Barrymore,Madame X,,,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
55,1928,DIRECTING,Harry Beaumont,The Broadway Melody,,,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
56,1928,DIRECTING,Irving Cummings,In Old Arizona,,,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
57,1928,DIRECTING,Frank Lloyd,The Divine Lady,,,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.]",actingorsimilar,1
58,1928,DIRECTING,Frank Lloyd,Drag; Weary River,,,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
59,1928,DIRECTING,Ernst Lubitsch,The Patriot,,,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
60,1928,OUTSTANDING PICTURE,Feature Productions,Alibi,,,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
61,1928,OUTSTANDING PICTURE,Fox,In Old Arizona,,,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
62,1928,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,The Broadway Melody,,,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.]",actingorsimilar,1
63,1928,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,Hollywood Revue,,,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
64,1928,OUTSTANDING PICTURE,Paramount Famous Lasky,The Patriot,,,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
65,1928,WRITING,Tom Barry,In Old Arizona; The Valiant,,,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
66,1928,WRITING,Elliott Clawson,The Cop; The Leatherneck; Sal of Singapore; Skyscraper,,,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
67,1928,WRITING,Hans Kraly,The Last of Mrs. Cheyney,,,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
68,1928,WRITING,Hans Kraly,The Patriot,,,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.]",actingorsimilar,1
69,1928,WRITING,Josephine Lovett,Our Dancing Daughters,,,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
70,1928,WRITING,Bess Meredyth,A Woman of Affairs; Wonder of Women,,,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.  Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]",actingorsimilar,0
71,1929,ACTOR,George Arliss,Disraeli,"{""Benjamin Disraeli""}",,"[NOTE: As allowed by the award rules for this year, a single nomination could honor work in one or more films.  Though the final awards ballot listed both Disraeli and The Green Goddess in his nomination, the award was announced for only the Disraeli performance.  It has never been established as to why this was, but it possibly could have been because the original report from the Acting Branch Board of Judges only listed the Disraeli performance in the results of the nominations voting, or it could have been because on some of the final ballots, the voters had indicated the Disraeli performance over the other.]",actingorsimilar,1
72,1929,ACTOR,George Arliss,The Green Goddess,"{""Oxonian, the Rajah of Rukh""}",,"[NOTE: As allowed by the award rules for this year, a single nomination could honor work in one or more films.  Though the final awards ballot listed both Disraeli and The Green Goddess in his nomination, the award was announced for only the Disraeli performance.  It has never been established as to why this was, but it possibly could have been because the original report from the Acting Branch Board of Judges only listed the Disraeli performance in the results of the nominations voting, or it could have been because on some of the final ballots, the voters had indicated the Disraeli performance over the other.]",actingorsimilar,0
73,1929,ACTOR,Wallace Beery,The Big House,"{""'Machine Gun' Butch Schmidt""}",,"[NOTE: As allowed by the award rules for this year, a single nomination could honor work in one or more films.  Though the final awards ballot listed both Disraeli and The Green Goddess in his nomination, the award was announced for only the Disraeli performance.  It has never been established as to why this was, but it possibly could have been because the original report from the Acting Branch Board of Judges only listed the Disraeli performance in the results of the nominations voting, or it could have been because on some of the final ballots, the voters had indicated the Disraeli performance over the other.]",actingorsimilar,0
74,1929,ACTOR,Maurice Chevalier,The Big Pond The Love Parade,"{""Pierre Mirande""};",,"[NOTE: As allowed by the award rules for this year, a single nomination could honor work in one or more films.  Though the final awards ballot listed both Disraeli and The Green Goddess in his nomination, the award was announced for only the Disraeli performance.  It has never been established as to why this was, but it possibly could have been because the original report from the Acting Branch Board of Judges only listed the Disraeli performance in the results of the nominations voting, or it could have been because on some of the final ballots, the voters had indicated the Disraeli performance over the other.]",actingorsimilar,0
75,1929,ACTOR,Ronald Colman,Bulldog Drummond Condemned,"{""Hugh 'Bulldog' Drummond""};",,"[NOTE: As allowed by the award rules for this year, a single nomination could honor work in one or more films.  Though the final awards ballot listed both Disraeli and The Green Goddess in his nomination, the award was announced for only the Disraeli performance.  It has never been established as to why this was, but it possibly could have been because the original report from the Acting Branch Board of Judges only listed the Disraeli performance in the results of the nominations voting, or it could have been because on some of the final ballots, the voters had indicated the Disraeli performance over the other.]",actingorsimilar,0
76,1929,ACTOR,Lawrence Tibbett,The Rogue Song,"{""Yegor""}",,"[NOTE: As allowed by the award rules for this year, a single nomination could honor work in one or more films.  Though the final awards ballot listed both Disraeli and The Green Goddess in his nomination, the award was announced for only the Disraeli performance.  It has never been established as to why this was, but it possibly could have been because the original report from the Acting Branch Board of Judges only listed the Disraeli performance in the results of the nominations voting, or it could have been because on some of the final ballots, the voters had indicated the Disraeli performance over the other.]",actingorsimilar,0
77,1929,ACTRESS,Nancy Carroll,The Devil's Holiday,"{""Hallie Hobart""}",,,actingorsimilar,0
78,1929,ACTRESS,Ruth Chatterton,Sarah and Son,"{""Sarah Storm""}",,,actingorsimilar,0
79,1929,ACTRESS,Greta Garbo,Anna Christie Romance,"{""Anna Christie""};",,,actingorsimilar,0
80,1929,ACTRESS,Norma Shearer,The Divorcee,"{""Jerry""}",,"[NOTE: As allowed by the award rules for this year, a single nomination could honor work in one or more films.  Though the final awards ballot listed both The Divorcee and Their Own Desire in her nomination, the award was announced for only the The Divorcee performance.  It has never been established as to why this was, but it possibly could have been because the original report from the Acting Branch Board of Judges only listed The Divorcee performance in the results of the nominations voting, or it could have been because on some of the final ballots, the voters had indicated the The Divorcee performance over the other.]",actingorsimilar,1
81,1929,ACTRESS,Norma Shearer,Their Own Desire,"{""Lucia 'Lally' Marlett""}",,"[NOTE: As allowed by the award rules for this year, a single nomination could honor work in one or more films.  Though the final awards ballot listed both The Divorcee and Their Own Desire in her nomination, the award was announced for only the The Divorcee performance.  It has never been established as to why this was, but it possibly could have been because the original report from the Acting Branch Board of Judges only listed The Divorcee performance in the results of the nominations voting, or it could have been because on some of the final ballots, the voters had indicated the The Divorcee performance over the other.]",actingorsimilar,0
82,1929,ACTRESS,Gloria Swanson,The Trespasser,"{""Marion Donnell""}",,"[NOTE: As allowed by the award rules for this year, a single nomination could honor work in one or more films.  Though the final awards ballot listed both The Divorcee and Their Own Desire in her nomination, the award was announced for only the The Divorcee performance.  It has never been established as to why this was, but it possibly could have been because the original report from the Acting Branch Board of Judges only listed The Divorcee performance in the results of the nominations voting, or it could have been because on some of the final ballots, the voters had indicated the The Divorcee performance over the other.]",actingorsimilar,0
83,1929,ART DIRECTION,(William Cameron Menzies),Bulldog Drummond,,,"[NOTE: For the third Academy Awards no certificates of nomination were given out in this category, only the titles of the nominated films and their companies were listed.  When the winners were revealed, only the names of the individuals involved with the winning achievements were announced.  The name(s) of those credited with this achievement are indicated here in parens.]",actingorsimilar,0
84,1929,ART DIRECTION,Herman Rosse,King of Jazz,,,"[NOTE: For the third Academy Awards no certificates of nomination were given out in this category, only the titles of the nominated films and their companies were listed.  When the winners were revealed, only the names of the individuals involved with the winning achievements were announced.  The name(s) of those credited with this achievement are indicated here in parens.]",actingorsimilar,1
85,1929,ART DIRECTION,(Hans Dreier),The Love Parade,,,"[NOTE: For the third Academy Awards no certificates of nomination were given out in this category, only the titles of the nominated films and their companies were listed.  When the winners were revealed, only the names of the individuals involved with the winning achievements were announced.  The name(s) of those credited with this achievement are indicated here in parens.]",actingorsimilar,0
86,1929,ART DIRECTION,(Jack Okey),Sally,,,"[NOTE: For the third Academy Awards no certificates of nomination were given out in this category, only the titles of the nominated films and their companies were listed.  When the winners were revealed, only the names of the individuals involved with the winning achievements were announced.  The name(s) of those credited with this achievement are indicated here in parens.]",actingorsimilar,0
87,1929,ART DIRECTION,(Hans Dreier),The Vagabond King,,,"[NOTE: For the third Academy Awards no certificates of nomination were given out in this category, only the titles of the nominated films and their companies were listed.  When the winners were revealed, only the names of the individuals involved with the winning achievements were announced.  The name(s) of those credited with this achievement are indicated here in parens.]",actingorsimilar,0
88,1929,CINEMATOGRAPHY,(Arthur Edeson),All Quiet on the Western Front,,,"[NOTE: For the third Academy Awards no certificates of nomination were given out in this category, only the titles of the nominated films and their companies were listed.  When the winners were revealed, only the names of the individuals involved with the winning achievements were announced.  The name(s) of those credited with this achievement are indicated here in parens.]",actingorsimilar,0
89,1929,CINEMATOGRAPHY,(William Daniels),Anna Christie,,,"[NOTE: For the third Academy Awards no certificates of nomination were given out in this category, only the titles of the nominated films and their companies were listed.  When the winners were revealed, only the names of the individuals involved with the winning achievements were announced.  The name(s) of those credited with this achievement are indicated here in parens.]",actingorsimilar,0
90,1929,CINEMATOGRAPHY,"(Gaetano Gaudio), (Harry Perry)",Hell's Angels,,,"[NOTE: For the third Academy Awards no certificates of nomination were given out in this category, only the titles of the nominated films and their companies were listed.  When the winners were revealed, only the names of the individuals involved with the winning achievements were announced.  The name(s) of those credited with this achievement are indicated here in parens.]",actingorsimilar,0
91,1929,CINEMATOGRAPHY,(Victor Milner),The Love Parade,,,"[NOTE: For the third Academy Awards no certificates of nomination were given out in this category, only the titles of the nominated films and their companies were listed.  When the winners were revealed, only the names of the individuals involved with the winning achievements were announced.  The name(s) of those credited with this achievement are indicated here in parens.]",actingorsimilar,0
92,1929,CINEMATOGRAPHY,"Joseph T. Rucker, Willard Van Der Veer",With Byrd at the South Pole,,,"[NOTE: For the third Academy Awards no certificates of nomination were given out in this category, only the titles of the nominated films and their companies were listed.  When the winners were revealed, only the names of the individuals involved with the winning achievements were announced.  The name(s) of those credited with this achievement are indicated here in parens.]",actingorsimilar,1
93,1929,DIRECTING,Clarence Brown,Anna Christie; Romance,,,,actingorsimilar,0
94,1929,DIRECTING,Robert Leonard,The Divorcee,,,,actingorsimilar,0
95,1929,DIRECTING,Ernst Lubitsch,The Love Parade,,,,actingorsimilar,0
96,1929,DIRECTING,Lewis Milestone,All Quiet on the Western Front,,,,actingorsimilar,1
97,1929,DIRECTING,King Vidor,Hallelujah,,,,actingorsimilar,0
98,1929,OUTSTANDING PRODUCTION,Universal,All Quiet on the Western Front,,,,actingorsimilar,1
99,1929,OUTSTANDING PRODUCTION,Cosmopolitan,The Big House,,,,actingorsimilar,0
100,1929,OUTSTANDING PRODUCTION,Warner Bros.,Disraeli,,,,actingorsimilar,0
101,1929,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Divorcee,,,,actingorsimilar,0
102,1929,OUTSTANDING PRODUCTION,Paramount Famous Lasky,The Love Parade,,,,actingorsimilar,0
103,1929,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",The Big House,,,,other,1
104,1929,SOUND RECORDING,"(RKO Radio Studio Sound Department, John Tribby, Sound Director)",The Case of Sergeant Grischa,,,"[NOTE: For the third Academy Awards no certificates of nomination were given out in this category, only the titles of the nominated films and their companies were listed.  When the winners were revealed, only the names of the individuals involved with the winning achievements were announced.  The name(s) of those credited with this achievement are indicated here in parens.]",other,0
105,1929,SOUND RECORDING,"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)",The Love Parade,,,"[NOTE: For the third Academy Awards no certificates of nomination were given out in this category, only the titles of the nominated films and their companies were listed.  When the winners were revealed, only the names of the individuals involved with the winning achievements were announced.  The name(s) of those credited with this achievement are indicated here in parens.]",other,0
106,1929,SOUND RECORDING,"(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)",Raffles,,,"[NOTE: For the third Academy Awards no certificates of nomination were given out in this category, only the titles of the nominated films and their companies were listed.  When the winners were revealed, only the names of the individuals involved with the winning achievements were announced.  The name(s) of those credited with this achievement are indicated here in parens.]",other,0
107,1929,SOUND RECORDING,"(First National Studio Sound Department, George Groves, Sound Director)",Song of the Flame,,,"[NOTE: For the third Academy Awards no certificates of nomination were given out in this category, only the titles of the nominated films and their companies were listed.  When the winners were revealed, only the names of the individuals involved with the winning achievements were announced.  The name(s) of those credited with this achievement are indicated here in parens.]",other,0
108,1929,WRITING,"(George Abbott), (Maxwell Anderson), (Del Andrews)",All Quiet on the Western Front,,,"[NOTE: For the third Academy Awards no certificates of nomination were given out in this category, only the titles of the nominated films and their companies were listed.  When the winners were revealed, only the names of the individuals involved with the winning achievements were announced.  The name(s) of those credited with this achievement are indicated here in parens.]",actingorsimilar,0
109,1929,WRITING,Frances Marion,The Big House,,,"[NOTE: For the third Academy Awards no certificates of nomination were given out in this category, only the titles of the nominated films and their companies were listed.  When the winners were revealed, only the names of the individuals involved with the winning achievements were announced.  The name(s) of those credited with this achievement are indicated here in parens.]",actingorsimilar,1
110,1929,WRITING,(Julian Josephson),Disraeli,,,"[NOTE: For the third Academy Awards no certificates of nomination were given out in this category, only the titles of the nominated films and their companies were listed.  When the winners were revealed, only the names of the individuals involved with the winning achievements were announced.  The name(s) of those credited with this achievement are indicated here in parens.]",actingorsimilar,0
